rank,stadium,capacity,region,country,city,images,home_team
241,Camille Chamoun Sports City Stadium,49500,West Asia,Lebanon,Beirut,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png/150px-Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC"
242,Miyagi Stadium,49133,East Asia,Japan,"Rifu, Miyagi",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/MiyagiStadiumTrackField.jpg/150px-MiyagiStadiumTrackField.jpg,Vegalta Sendai
243,Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Munhak_Stadium_Corner.jpg/150px-Munhak_Stadium_Corner.jpg,
244,Heinz-von-Heiden-Arena,49000,Europe,Germany,Hanover,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HDI_Arena%2C_WM_Stadion_2006.jpg/150px-HDI_Arena%2C_WM_Stadion_2006.jpg,Hannover 96
245,Parc des Princes,48712,Europe,France,Paris,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/PSG-Nantes_Parc_des_Princes_05.jpg/150px-PSG-Nantes_Parc_des_Princes_05.jpg,Paris Saint-Germain
246,Stadium of Light,48707,Europe,England,"Sunderland, Tyne and Wear",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Stadium_of_Light%2C_Sunderland_afc.jpg/150px-Stadium_of_Light%2C_Sunderland_afc.jpg,Sunderland AFC
247,Estadio Nacional,48665,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Adios_Matador.jpg/150px-Adios_Matador.jpg,"Chile national football team, CF Universidad de Chile"
248,Nelson Mandela Bay Stadium,48459,Africa,South Africa,"Port Elizabeth, Eastern Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg/150px-Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg,Chippa United FC
249,Estadio Tomás Adolfo Ducó,48314,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Estadio_huracan_interior_tribuna_gcba.jpg/150px-Estadio_huracan_interior_tribuna_gcba.jpg,CA Huracán
250,Jinnah Sports Stadium,48200,South Asia,Pakistan,Islamabad,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jinnah_Sports_Stadium_track_and_field.jpg/150px-Jinnah_Sports_Stadium_track_and_field.jpg,Pakistan national football team
251,Estadio Libertadores de América,48069,South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Estadio_Libertadores_de_America_2014.JPG/150px-Estadio_Libertadores_de_America_2014.JPG,Club Atlético Independiente
252,Free State Stadium,48000,Africa,South Africa,"Bloemfontein, Free State",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Free_State_Stadium1.jpg/150px-Free_State_Stadium1.jpg,"Bloemfontein Celtic, Toyota Cheetahs"
253,Nagai Stadium,47816,East Asia,Japan,Osaka,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Nagai_stadium20040717.jpg/150px-Nagai_stadium20040717.jpg,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka"
254,Neo Química Arena,47605,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg/150px-Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg,Corinthians
255,Rogers Centre,47568,North America,Canada,"Toronto, Ontario",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Toronto_-_ON_-_Rogers_Centre2.jpg/150px-Toronto_-_ON_-_Rogers_Centre2.jpg,"Toronto FC, Toronto Argonauts"
256,Estadio Monumental,47347,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Monumental_2009.jpg/150px-Estadio_Monumental_2009.jpg,Colo-Colo
257,Stadio Artemio Franchi,47282,Europe,Italy,Florence,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Soccer_in_Florence%2C_Italy%2C_2007.jpg/150px-Soccer_in_Florence%2C_Italy%2C_2007.jpg,ACF Fiorentina
258,Estadio Ciudad de Lanús – Néstor Díaz Pérez,47027,South America,Argentina,Lanús,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG/150px-Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG,CA Lanús
259,Estadio Metropolitano Roberto Meléndez,46788,South America,Colombia,Barranquilla,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Estadio_Metropolitano_de_Baranquilla_2011.jpg/150px-Estadio_Metropolitano_de_Baranquilla_2011.jpg,"Colombia national football team, Atlético Junior"
260,Estádio Olímpico Nilton Santos,46831,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg/150px-Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg,Botafogo FR
261,Itaipava Arena Pernambuco,46154,South America,Brazil,"São Lourenço da Mata, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Panorama_of_Arena_Pernambuco.jpg/150px-Panorama_of_Arena_Pernambuco.jpg,Náutico
262,Arena MRV,46000,South America,Brazil,"Belo Horizonte, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg/150px-Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg,C Atlético Mineiro
263,Estádio Paulo Constantino,45954,South America,Brazil,"Presidente Prudente, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg/150px-Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg,Grêmio Prudente
264,Estadio Atanasio Girardot,45739,South America,Colombia,Medellín,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Atanasio_Girardot_Stadium.jpg/150px-Atanasio_Girardot_Stadium.jpg,"Atlético Nacional, Independiente Medellín"
265,Estadio Ramón Sánchez Pizjuán,45500,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sevilla2-1Lega20182.jpg/150px-Sevilla2-1Lega20182.jpg,Sevilla FC
266,Adrar Stadium,45480,Africa,Morocco,Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Stade-Adrar2019.png/150px-Stade-Adrar2019.png,Hassania Agadir
267,Lukoil Arena,45360,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Match_veteranov_Spartaka_%2813%29.jpg/150px-Match_veteranov_Spartaka_%2813%29.jpg,Spartak Moscow
268,Grand stade de Marrakech,45240,Africa,Morocco,Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Stade_de_marrakech.jpg/150px-Stade_de_marrakech.jpg,Kawkab Marrakech
